Rank,Conference Name,Dates,Location,Ranking
1Rank,Computer Vision and Pattern Recognition,"18-06-2023
                                    -
                            
                            22-06-2023
            
                            - Vancouver",Vancouver,60.70
2Rank,European Conference on Computer Vision,"24-10-2022
                                    -
                            
                            28-10-2022
            
                            - Tel Aviv",Tel Aviv,38.70
3Rank,Neural Information Processing Systems,"12-12-2023
                                    -
                            
                            14-12-2023
            
                            - New Orleans",New Orleans,38.50
4Rank,International Conference on Learning Representations,"01-05-2023
                                    -
                            
                            05-05-2023
            
                            - Kigali",Kigali,35.70
5Rank,International Conference on Computer Vision,"11-10-2021
                                    -
                            
                            11-10-2021
            
                            - Montreal",Montreal,31.80
6Rank,AAAI Conference on Artificial Intelligence,"07-02-2023
                                    -
                            
                            14-02-2023
            
                            - Washington DC",Washington DC,31.10
7Rank,International Conference on Machine Learning,"17-07-2022
                                    -
                            
                            23-07-2022
            
                            - Baltimore",Baltimore,30.40
8Rank,Meeting of the Association for Computational Linguistics,"22-05-2022
                                    -
                            
                            27-05-2022
            
                            - Dublin",Dublin,26.90
9Rank,Empirical Methods in Natural Language Processing,"06-12-2023
                                    -
                            
                            10-12-2023
            
                            - Singapore City",Singapore City,24.80
10Rank,North American Chapter of the Association for Computational Linguistics,"10-07-2022
                                    -
                            
                            15-07-2022
            
                            - Seattle",Seattle,21.30
11Rank,International Joint Conference on Artificial Intelligence,"23-07-2022
                                    -
                            
                            29-07-2022
            
                            - Vienna",Vienna,20.80
12Rank,Knowledge Discovery and Data Mining,"06-08-2023
                                    -
                            
                            10-08-2023
            
                            - Long Beach",Long Beach,17.50
13Rank,Human Factors in Computing Systems,"23-04-2023
                                    -
                            
                            28-04-2023
            
                            - Hamburg",Hamburg,16.50
14Rank,"International Conference on Acoustics, Speech, and Signal Processing","04-06-2023
                                    -
                            
                            09-06-2023
            
                            - Rhodes Island",Rhodes Island,15.90
15Rank,Conference of the International Speech Communication Association,"18-09-2023
                                    -
                            
                            21-09-2023
            
                            - Warsaw",Warsaw,13.90
16Rank,World Wide Web,"01-05-2023
                                    -
                            
                            05-05-2023
            
                            - Austin",Austin,13.80
17Rank,International Joint Conference on Natural Language Processing,"21-11-2022
                                    -
                            
                            24-11-2022
            
                            - Taipei",Taipei,13.60
